time,count
2017-11-24-05:12:0,4420
2017-11-24-05:13:0,5841
2017-11-24-05:14:0,6215
2017-11-24-05:15:0,5204
2017-11-24-05:16:0,5419
2017-11-24-05:17:0,6079
2017-11-24-05:18:0,6557
2017-11-24-05:19:0,5791
2017-11-24-05:20:0,5300
2017-11-24-05:21:0,5914
2017-11-24-05:22:0,5152
2017-11-24-05:23:0,5592
2017-11-24-05:24:0,6031
2017-11-24-05:25:0,6748
2017-11-24-05:26:0,5507
2017-11-24-05:27:0,5356
2017-11-24-05:28:0,6281
2017-11-24-05:29:0,6763
2017-11-24-05:30:0,6876
2017-11-24-05:31:0,7671
2017-11-24-05:32:0,7437
2017-11-24-05:33:0,6820
2017-11-24-05:34:0,7201
2017-11-24-05:35:0,7230
2017-11-24-05:36:0,6347
2017-11-24-05:37:0,6959
2017-11-24-05:38:0,7302
2017-11-24-05:39:0,7292
2017-11-24-05:40:0,8310
2017-11-24-05:41:0,7735
2017-11-24-05:42:0,6624
2017-11-24-05:43:0,7156
2017-11-24-05:44:0,8174
2017-11-24-05:45:0,7221
2017-11-24-05:46:0,8567
2017-11-24-05:47:0,9222
2017-11-24-05:48:0,9622
2017-11-24-05:49:0,10108
2017-11-24-05:50:0,9300
2017-11-24-05:51:0,7653
2017-11-24-05:52:0,8626
2017-11-24-05:53:0,9823
2017-11-24-05:54:0,9008
2017-11-24-05:55:0,9126
2017-11-24-05:56:0,9990
2017-11-24-05:57:0,8912
2017-11-24-05:58:0,8427
2017-11-24-05:59:0,96
2017-11-24-06:00:0,11450
2017-11-24-06:01:0,11944
2017-11-24-06:02:0,11969
2017-11-24-06:03:0,12769
2017-11-24-06:04:0,13438
2017-11-24-06:05:0,11308
2017-11-24-06:06:0,12259
2017-11-24-06:07:0,11569
2017-11-24-06:08:0,12192
2017-11-24-06:09:0,12385
2017-11-24-06:10:0,12826
2017-11-24-06:11:0,12384
2017-11-24-06:12:0,12578
2017-11-24-06:13:0,11814
2017-11-24-06:14:0,13569
2017-11-24-06:15:0,13483
2017-11-24-06:16:0,15681
2017-11-24-06:17:0,13631
2017-11-24-06:18:0,11690
2017-11-24-06:19:0,14408
2017-11-24-06:20:0,15457
2017-11-24-06:21:0,15884
2017-11-24-06:22:0,14133
2017-11-24-06:23:0,14297
2017-11-24-06:24:0,14301
2017-11-24-06:25:0,15021
2017-11-24-06:26:0,15048
2017-11-24-06:27:0,14929
2017-11-24-06:28:0,14500
2017-11-24-06:29:0,15137
2017-11-24-06:30:0,16856
2017-11-24-06:31:0,18227
2017-11-24-06:32:0,18788
2017-11-24-06:33:0,17181
2017-11-24-06:34:0,17025
2017-11-24-06:35:0,17731
2017-11-24-06:36:0,16365
2017-11-24-06:37:0,19146
2017-11-24-06:38:0,19489
2017-11-24-06:39:0,17594
2017-11-24-06:40:0,17941
2017-11-24-06:41:0,20970
2017-11-24-06:42:0,19010
2017-11-24-06:43:0,17801
2017-11-24-06:44:0,21032
2017-11-24-06:45:0,18448
2017-11-24-06:46:0,16350
2017-11-24-06:47:0,17620
2017-11-24-06:48:0,16866
2017-11-24-06:49:0,19768
2017-11-24-06:50:0,20311
2017-11-24-06:51:0,19961
2017-11-24-06:52:0,20619
2017-11-24-06:53:0,20562
2017-11-24-06:54:0,22702
2017-11-24-06:55:0,18957
2017-11-24-06:56:0,17411
2017-11-24-06:57:0,18531
2017-11-24-06:58:0,19807
2017-11-24-06:59:0,20889
2017-11-24-07:00:0,19891
2017-11-24-07:01:0,20841
2017-11-24-07:02:0,24965
2017-11-24-07:03:0,23498
2017-11-24-07:04:0,24460
2017-11-24-07:05:0,21944
2017-11-24-07:06:0,21240
2017-11-24-07:07:0,23466
